,Unnamed: 0.1,Unnamed: 0,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
363,1070,1070,01l5R,5rk1/2p3n1/3p3p/pPp5/P1q2bQ1/5R2/6PP/5R1K w - - 0 33,f3f4 c4f1 f4f1 f8f1,1392,74,89,1248,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/GNv2K66y#65
369,1086,1086,01mgz,2rq1rk1/1b3ppp/p2p1Nn1/1p3N2/4P3/3Qp3/PPP3PP/R4R1K b - - 0 20,d8f6 f5h6 g7h6 f1f6,1316,78,88,69,advantage discoveredAttack kingsideAttack master middlegame short,https://lichess.org/1E9dZ74A/black#40
374,1105,1105,01pRy,6k1/3r2p1/p1b5/1p1qPp2/5B2/Q7/1P4PP/6RK w - - 10 44,a3a6 d5g2 g1g2 d7d1,1477,79,83,119,clearance endgame mate mateIn2 pin sacrifice short,https://lichess.org/Y00u9Q6G#87
379,1121,1121,01rp4,8/ppQ3p1/2b1p1k1/3q1n2/3P4/4B3/5PPP/R5K1 w - - 3 28,c7f4 d5g2,1054,168,100,30,endgame mate mateIn1 oneMove,https://lichess.org/dN3MD73I#55
380,1126,1126,01sIs,7r/2k1n1b1/1pqp1pp1/1R2p2p/2PpP3/r2P1B1P/PQ2NKP1/R7 b - - 1 26,h8a8 e2d4 e5d4 e4e5 d6d5 c4d5,1813,194,90,11,crushing long middlegame sacrifice,https://lichess.org/u5IRJkzm/black#52
384,1139,1139,01tUB,8/8/p4k2/P2p3p/3P1K1P/8/8/8 w - - 4 48,f4f3 f6f5 f3e3 f5g4,834,98,85,287,crushing endgame pawnEndgame short zugzwang,https://lichess.org/g3LPb3Po#95
386,1144,1144,01ti6,4n1k1/K5b1/1p6/7p/1P1B1PpP/P3P1P1/8/8 b - - 0 46,g7d4 e3d4 b6b5 a7b6 e8d6 b6c7,2546,106,85,29,crushing endgame long,https://lichess.org/8qL1LjAS/black#92
388,1152,1152,01uAD,8/1R5p/p5p1/3N3k/PP3P2/6K1/5r1r/8 b - - 4 47,g6g5 b7h7 h5g6 h7h2,1487,77,83,139,crushing endgame short,https://lichess.org/zHEZrOIo/black#94
389,1155,1155,01uFt,2k1q3/pp1r4/6p1/3p4/6Q1/1B6/PPP5/1K1R4 w - - 0 33,d1d5 e8e1 d5d1 e1d1 g4d1 d7d1,643,91,54,31,backRankMate endgame long mate mateIn3,https://lichess.org/HCzogcJU#65
395,1178,1178,01wvH,2r3k1/pp1b1ppp/4p3/q2nP3/PbNP4/1P1Q1N2/4BKPP/5R2 b - - 1 21,d5f4 d3e4 a5c7 e4f4,1676,193,-33,12,advantage middlegame short,https://lichess.org/7i3OIQCx/black#42
396,1179,1179,01wxe,8/8/4k1p1/1p1p3p/pP3P1P/P1P3K1/8/8 w - - 3 52,g3f3 e6f5 f3e3 f5g4,1220,87,100,66,crushing endgame pawnEndgame short zugzwang,https://lichess.org/tIu8wbe8#103
418,1232,1232,021c0,1r3rk1/4qppp/3bp3/p2p2PP/2nP1P2/2N5/PP2Q3/1KBR3R b - - 4 24,d6f4 c3d5 e7d7 d5f4,2219,75,91,1165,advantage middlegame short,https://lichess.org/TzBDYvnF/black#48
421,1241,1241,0227w,8/2pr1p2/1p3kp1/pKpP4/P3PP1p/8/1P3R2/8 b - - 1 32,g6g5 b5c6 d7e7 e4e5 f6g6 d5d6 c7d6 e5d6,2292,86,97,44,crushing endgame rookEndgame veryLong,https://lichess.org/IAXJGGDj/black#64
